district,count
West Garo Hills,1
Ukhrul,1
Budgam,1
East Kameng,1
Serchhip,1
Baudh,1
Gariyaband,1
Mungeli,1
West Siang,1
East Siang,1
Bandipur,1
Tuticorin,1
Surajpur,1
Dakshin Gangotri,1
Ponda,1
North Cachar Hills,1
West Khasi Hills,1
Tirap,1
Jaintia Hills,2
Amta - II,2
Saiha,2
Champhai,2
Upper Siang,2
Bicholim,2
Longleng,2
Tuensang,3
Chamrajnagar,3
Tawang,3
Kokrajhar,3
Goalpara,3
Tiswadi,3
Ri Bhoi,3
Namsai,4
Nilgiris,4
Anugul,4
Nicobar,4
Anjaw,4
West Kameng,4
Darrang,5
East Garo Hills,5
Kolasib,5
Lower Subansiri,5
Bhabua,5
Mahrajganj,5
Mammit,5
Changlang,6
Gir Somnath,6
Karbi Anglong,6
Devbhumi Dwarka,6
Domjur,7
Kamrup Metro,8
Hailakandi,8
Mohali,9
Nalbari,9
Upper Subansiri,10
Marigaon,10
Leh,10
Thoothukudi,10
Karimganj,11
Sant Ravidas Nagar Bhadohi,12
Karim Nagar,12
Debagarh,12
Chirang,13
Bongaigaon,13
Udalguri,13
Dhemaji,14
Dhubri,14
Jyotiba Phule Nagar,15
Lakshadweep,16
Baksa,17
Jorhat,17
Mon,18
Boudh,19
Dibrugarh,20
Lakhimpur,21
Aizawl,24
Gomati,25
Sonitpur,25
Nuapada,27
Lower Dibang Valley,27
Bulandshahar,28
Nayagarh,28
Garhwal,28
Ganderbal,29
Sibsagar,29
Tirupur,32
Samba,32
Reasi,34
Tinsukia,36
Cachar,36
Ramban,36
Bardez,36
Kurung Kumey,37
Shupiyan,37
Barpeta,37
East Khasi Hills,37
Hardwar,38
Kodarma,38
Rajouri,39
Kishtwar,43
Lohit,44
Tiruvarur,46
Malkangiri,48
Narayanpur,48
Kamrup,49
Arvalli,56
Aurangabad(BH),59
Gajapati,62
Karaikal,65
Pakaur,65
Phek,76
Dantewada,76
Firozpur,78
Dhenkanal,81
Kargil,82
Mumbai City,85
Doda,86
Dhalai,94
West Sikkim,96
Golaghat,102
Unakoti,106
Angul,111
Najafgarh,115
Andamans,115
Senapati,117
Muktsar,118
Kanyakumari,119
Mungeli,121
New Delhi,121
Nabarangapur,122
North Sikkim,127
Surendranagar,129
North And Middle Andaman,129
Dadra and Nagar Haveli,132
Pulwama,132
Lunglei,134
Zunheboto,137
Kalahandi,139
Chikmagalur,140
Jharsuguda,142
Kandhamal,144
Thiruvarur,148
Chikkamagaluru,150
South Andaman,152
Kohima,153
Kanchipuram,160
Chamarajanagar,165
Sahibganj,166
Sukma,167
Rayagada,168
Nagaon,169
Punch,173
Yanam,177
Khowai,179
South Sikkim,179
Kulgam,181
Hazaribag,184
Wokha,184
Bankura,190
Uttar Bastar Kanker,195
Lahul and Spiti,196
Dakshin Bastar Dantewada,198
Udhampur,200
Mysuru,203
Palghar,205
Purba Medinipur,206
Papum Pare,212
Sonapur,214
Kabeerdham,215
Villupuram,223
Pondicherry,227
Raigad,228
Sepahijala,229
Sambalpur,247
Nawanshahr,249
Kathua,260
Daman,269
Bijapur(KAR),269
Ariyalur,270
Bilaspur,270
East Sikkim,275
Mokokchung,284
Koraput,293
South Tripura,304
Janjgir Champa,308
Dimapur,315
Tamenglong,316
The Dangs,318
