Dcount,district
1,West Garo Hills
1,Jaintia Hills
1,Ukhrul
1,Budgam
1,Baudh
1,East Kameng
1,Serchhip
1,Gariyaband
1,Shupiyan
1,Mungeli
1,Tawang
1,Amta - II
1,Saiha
1,West Siang
1,Domjur
1,Champhai
1,Najafgarh
1,East Siang
1,Others
1,Bandipur
1,Lunglei
1,Nicobar
1,Tiswadi
1,Tuticorin
1,Samba
1,Surajpur
1,Ponda
1,Bicholim
1,Dakshin Gangotri
1,Narayanpur
1,Mammit
1,North Cachar Hills
1,West Khasi Hills
1,Tirap
1,Yanam
1,Bardez
1,Longleng
1,Ri Bhoi
2,Ganderbal
2,Lohit
2,Mahendragarh
2,North Sikkim
2,Daman
2,Tuensang
2,Chamrajnagar
2,Namsai
2,West Sikkim
2,Sant Ravidas Nagar Bhadohi
2,Chirang
2,Chennai
2,Champawat
2,Kolasib
2,Sant Ravidas Nagar
2,Lower Subansiri
2,Sukma
2,The Dangs
2,Kasargod
2,Dadra and Nagar Haveli
2,Kishtwar
2,Changlang
2,Kaithal
2,Kargil
2,Kasaragod
2,Dantewada
2,Shaheed Bhagat Singh Nagar
2,Barnala
2,Kawardha
2,Umaria
2,Pathankot
2,Upper Siang
2,Shamli
2,Chandigarh
2,Mohali
2,Anjaw
2,Alirajpur
2,New Delhi
2,South Sikkim
2,Kasganj
2,Ramban
2,Kulgam
2,Leh
2,Reasi
3,Darrang
3,Singrauli
3,East Sikkim
3,Kurung Kumey
3,Jaisalmer
3,Punch
3,Ariyalur
3,Mungeli
3,Maharajganj
3,Chitrakoot
3,Lower Dibang Valley
3,East Garo Hills
3,Varanasi
3,Kamrup Metro
3,Panchkula
3,Anugul
3,Bandipore
3,Sri Muktsar Sahib
3,North East Delhi
3,Kokrajhar
3,Karaikal
3,Rohtak
3,Fazilka
3,Goalpara
3,Lalitpur
3,Diu
3,Auraiya
3,Hardwar
3,Haridwar
3,Meerut
3,Shrawasti
3,Gir Somnath
3,Mahrajganj
3,Hailakandi
3,Mumbai City
3,Marigaon
3,Nawanshahr
3,Bongaigaon
3,Sambhal
3,Datia
3,Bhopal
3,Fatehabad
3,Panipat
3,Bengaluru
3,Unakoti
3,Yamuna Nagar
3,Hapur
3,Debagarh
3,North East
3,Karbi Anglong
3,North And Middle Andaman
3,South Andaman
3,Amroha
3,Kupwara
3,West Kameng
3,Devbhumi Dwarka
4,Baksa
4,Chikmagalur
4,Nilgiris
4,Anuppur
4,North Delhi
4,Farrukhabad
4,Dhamtari
4,Muktsar
4,Faridkot
4,Firozpur
4,Shahjahanpur
4,Mon
4,Burhanpur
4,Chamrajanagar
4,Sant Kabir Nagar
4,Kannauj
4,Rewari
4,Porbandar
4,Sonbhadra
4,Jhajjar
4,Central Delhi
4,Dindori
4,Bageshwar
4,Kurukshetra
4,Harda
4,Ambala
4,Rudraprayag
4,Jyotiba Phule Nagar
4,Kabeerdham
4,Katni
4,Karimganj
4,Mahoba
4,Neemuch
4,Jind
4,Kanniyakumari
4,Boudh
4,Mansa
4,Mathura
4,Basti
4,Baghpat
4,Chandauli
4,Narmada
4,Ashok Nagar
4,Gomati
4,Golaghat
5,Bangalore
5,Yadgir
5,Tinsukia
5,Kaushambi
5,Udham Singh Nagar
5,Kapurthala
5,Idukki
5,Dakshin Bastar Dantewada
5,Fatehgarh Sahib
5,Korba
5,Nuapada
5,Lakshadweep
5,Sirsa
5,Khowai
5,Hisar
5,Kodagu
5,Mahasamund
5,Lakhimpur
5,Lahul and Spiti
5,Banswara
5,Wayanad
5,Mau
5,Pilibhit
5,Uttarkashi
5,Mainpuri
5,Perambalur
5,Kushinagar
5,Jabalpur
5,Palwal
5,Krishnagiri
5,Chamarajanagar
5,Pulwama
5,Tapi
5,Mewat
5,Bhabua
5,Puducherry
5,Gwalior
5,Mumbai( Sub Urban )
5,Malkangiri
5,Mirzapur
5,Pakaur
5,Arvalli
5,Ramanagar
5,Jalaun
5,Dhemaji
5,Imphal East
5,Dungarpur
5,Dehradun
5,Gandhinagar
5,Udupi
5,Jamtara
5,Kanyakumari
5,Sepahijala
5,Sheopur
5,Mandla
5,Ghaziabad
5,Saharanpur
5,Vijayapura
5,Dhule
5,Bathinda
5,Sonipat
5,Andamans
5,Gautam Buddha Nagar
5,Balod
5,Kodarma
5,Udhampur
5,Bemetara
5,Srinagar
